user_activity,environmental_brightness,screen_brightness,time_of_day,internet_speed, battery_level,images,theme, layout,font_size,reference, readability,informativness
STILL,5,79,17,2,93,withImages,dark-theme,largeCards,small-font,1,1,1
STILL,5,79,17,2,93,withImages,dark-theme,largeCards,small-font,1,1,1
STILL,5,79,17,2,93,withImages,dark-theme,gridView,small-font,1,2,1
STILL,5,79,17,2,92,withImages,dark-theme,gridView,small-font,2,2,1
STILL,5,79,17,2,92,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,5,79,17,2,92,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,5,79,17,2,92,withImages,dark-theme,largeCards,large-font,1,2,1
ON_FOOT,30,4,18,1,94,withImages,light-theme,largeCards,small-font,2,2,2
ON_FOOT,30,4,18,1,94,noImages,light-theme,largeCards,small-font,1,1,2
STILL,8,79,8,2,51,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,8,79,8,2,50,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,8,79,8,2,50,withImages,dark-theme,gridView,small-font,1,1,1
STILL,206,79,10,2,24,withImages,dark-theme,xLargeCards,small-font,1,2,1
STILL,223,79,10,2,24,withImages,dark-theme,xLargeCards,small-font,1,2,2
STILL,182,79,10,2,23,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,194,79,12,2,16,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,97,79,15,2,13,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,102,79,15,2,13,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,90,79,15,2,14,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,0,79,19,2,100,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,0,55,20,2,92,withImages,dark-theme,xLargeCards,large-font,-1,0,0
STILL,0,55,20,2,92,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,0,55,20,2,91,withImages,dark-theme,largeCards,large-font,-1,1,-1
ON_FOOT,13,103,0,1,83,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,3,103,0,1,83,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,6,103,0,1,83,withImages,light-theme,largeCards,small-font,2,0,0
ON_FOOT,0,103,1,1,81,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,0,103,1,1,81,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,0,103,1,1,80,withImages,dark-theme,largeCards,small-font,1,1,1
STILL,0,103,1,1,79,withImages,dark-theme,largeCards,small-font,1,1,2
STILL,0,103,1,1,79,withImages,dark-theme,xLargeCards,small-font,1,1,1
STILL,222,79,11,2,52,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,208,79,11,2,52,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,94,79,11,2,52,noImages,light-theme,xLargeCards,large-font,-2,-2,-2
STILL,70,79,11,2,52,noImages,light-theme,xLargeCards,large-font,-2,-2,-1
STILL,70,79,11,2,52,withImages,light-theme,xLargeCards,large-font,0,1,0
ON_FOOT,12075,103,12,1,32,withImages,light-theme,miniCards,small-font,2,2,2
STILL,1,125,13,2,87,withImages,dark-theme,miniCards,large-font,1,1,2
STILL,26,103,14,1,18,withImages,light-theme,largeCards,small-font,2,2,2
STILL,26,103,14,1,17,withImages,light-theme,largeCards,small-font,2,2,2
STILL,26,103,14,1,17,withImages,light-theme,largeCards,large-font,2,2,2
STILL,24,103,14,1,17,withImages,light-theme,miniCards,large-font,1,2,0
STILL,26,103,14,1,17,withImages,light-theme,miniCards,large-font,2,1,0
STILL,12,125,15,1,83,withImages,dark-theme,xLargeCards,large-font,1,1,2
STILL,11,125,15,1,83,withImages,light-theme,miniCards,large-font,2,2,1
STILL,7,125,15,1,81,withImages,light-theme,gridView,small-font,1,0,1
STILL,0,125,15,1,77,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,0,125,15,1,76,withImages,light-theme,miniCards,large-font,2,2,2
STILL,0,125,15,1,75,withImages,light-theme,miniCards,large-font,2,2,2
STILL,3,125,16,1,71,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,4,125,16,1,71,withImages,dark-theme,miniCards,large-font,2,2,2
STILL,51,230,16,0,19,withImages,dark-theme,xLargeCards,small-font,2,1,2
IN_VEHICLE,19,137,17,2,96,withImages,light-theme,largeCards,large-font,2,1,2
IN_VEHICLE,19,137,17,2,95,withImages,light-theme,gridView,small-font,-1,-2,-1
ON_FOOT,13,137,17,2,95,withImages,light-theme,miniCards,large-font,1,1,1
IN_VEHICLE,13,137,17,2,95,withImages,light-theme,xLargeCards,large-font,-1,0,0
STILL,17,103,17,1,62,withImages,light-theme,largeCards,large-font,2,2,2
STILL,16,103,17,1,62,withImages,light-theme,largeCards,large-font,2,2,2
STILL,15,103,17,1,62,withImages,light-theme,miniCards,small-font,1,0,1
STILL,22,103,17,1,61,withImages,light-theme,gridView,small-font,1,-1,-1
STILL,69,125,18,1,65,withImages,light-theme,largeCards,large-font,1,2,2
STILL,104,230,18,1,16,withImages,dark-theme,xLargeCards,large-font,2,2,1
ON_FOOT,0,125,18,2,61,withImages,light-theme,gridView,small-font,-1,1,2
ON_FOOT,0,125,18,2,60,withImages,dark-theme,xLargeCards,large-font,2,1,2
ON_FOOT,19,137,18,2,82,withImages,light-theme,largeCards,small-font,-1,-1,-2
IN_VEHICLE,13,137,18,2,81,withImages,light-theme,gridView,small-font,0,-2,-2
IN_VEHICLE,13,137,18,2,81,withImages,light-theme,miniCards,small-font,1,0,-1
IN_VEHICLE,6,137,18,2,80,withImages,light-theme,xLargeCards,small-font,0,1,-1
STILL,0,125,23,2,55,withImages,light-theme,miniCards,large-font,1,2,2
STILL,0,125,23,1,55,withImages,light-theme,miniCards,large-font,1,1,1
STILL,0,125,23,1,54,withImages,light-theme,xLargeCards,small-font,-1,-1,1
STILL,0,125,23,2,54,withImages,dark-theme,xLargeCards,large-font,2,1,2
STILL,0,103,2,1,44,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,0,103,2,1,44,withImages,dark-theme,miniCards,small-font,1,1,2
STILL,0,103,2,1,43,withImages,dark-theme,gridView,small-font,-1,-1,0
STILL,0,103,2,2,43,withImages,dark-theme,miniCards,large-font,1,2,2
STILL,0,103,2,2,42,withImages,dark-theme,gridView,small-font,-1,-1,-1
STILL,0,103,2,2,42,withImages,dark-theme,xLargeCards,small-font,2,2,1
STILL,0,103,2,1,42,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,8,79,9,2,31,withImages,light-theme,gridView,small-font,1,2,2
STILL,8,79,9,2,31,withImages,light-theme,gridView,small-font,2,1,2
STILL,41,78,10,2,93,withImages,dark-theme,miniCards,small-font,1,2,2
STILL,4,125,11,1,45,noImages,light-theme,largeCards,small-font,-1,0,1
STILL,4,125,11,1,45,withImages,light-theme,largeCards,large-font,2,2,2
STILL,51,230,16,1,99,withImages,light-theme,largeCards,small-font,2,1,1
