user_id,user_activity,environmental_brightness,theme,layout,fontSize,feedback
user0,STILL,8,light-theme,largeCards,large-font,Y
user0,STILL,8,light-theme,largeCards,large-font,Y
user0,STILL,9,light-theme,largeCards,large-font,Y
user0,STILL,10,light-theme,largeCards,large-font,Y
user0,STILL,11,dark-theme,xLargeCards,small-font,N
user0,STILL,10,dark-theme,xLargeCards,small-font,N
user0,STILL,10,dark-theme,xLargeCards,small-font,Y
user0,STILL,24,dark-theme,largeCards,small-font,N
user0,STILL,22,dark-theme,largeCards,small-font,Y
user0,STILL,63,dark-theme,largeCards,small-font,N
user0,STILL,52,dark-theme,largeCards,small-font,Y
user0,STILL,6,dark-theme,xLargeCards,small-font,N
user0,STILL,7,dark-theme,xLargeCards,small-font,N
user0,STILL,9,dark-theme,xLargeCards,small-font,Y
user0,STILL,13,light-theme,xLargeCards,small-font,N
user0,STILL,482,dark-theme,largeCards,large-font,Y
user0,STILL,241,dark-theme,largeCards,large-font,N
user0,STILL,100,light-theme,largeCards,small-font,N
user0,STILL,311,light-theme,xLargeCards,small-font,N
user0,STILL,308,light-theme,xLargeCards,small-font,N
user0,STILL,6,light-theme,largeCards,large-font,Y
user0,STILL,6,light-theme,largeCards,large-font,Y
user0,STILL,9,light-theme,largeCards,large-font,Y
user0,STILL,7,light-theme,largeCards,large-font,Y
user0,STILL,16,dark-theme,xLargeCards,small-font,N
user0,STILL,11,dark-theme,largeCards,large-font,Y
user0,STILL,198,light-theme,xLargeCards,small-font,N
user0,STILL,160,light-theme,xLargeCards,small-font,Y
user0,STILL,40,dark-theme,largeCards,small-font,N
user0,STILL,40,dark-theme,largeCards,small-font,Y
user0,STILL,35,light-theme,largeCards,small-font,Y
user0,STILL,55,dark-theme,largeCards,small-font,N
user0,STILL,54,dark-theme,largeCards,small-font,Y
user0,STILL,56,light-theme,largeCards,small-font,Y
user0,STILL,40,light-theme,largeCards,small-font,Y
user0,STILL,62,light-theme,largeCards,small-font,Y
user0,STILL,899,light-theme,largeCards,large-font,Y
user0,STILL,698,light-theme,largeCards,large-font,Y
user0,STILL,566,light-theme,largeCards,large-font,Y
user0,STILL,796,light-theme,largeCards,large-font,Y
user0,STILL,860,light-theme,largeCards,large-font,Y
user0,STILL,81,light-theme,largeCards,large-font,Y
user0,STILL,110,light-theme,xLargeCards,large-font,N
user0,STILL,98,dark-theme,largeCards,small-font,N
user0,STILL,64,dark-theme,largeCards,large-font,Y
user0,STILL,4,light-theme,largeCards,large-font,Y
user0,STILL,6,light-theme,largeCards,large-font,Y
user0,STILL,6,light-theme,largeCards,large-font,Y
