user_activity,environmental_brightness,theme,layout,font_size,likert_sum,binarized_output
STILL,5,dark-theme,largeCards,small-font,3,0
STILL,5,dark-theme,largeCards,small-font,3,0
STILL,5,dark-theme,largeCards,large-font,4,0
STILL,5,dark-theme,largeCards,large-font,4,0
STILL,5,dark-theme,largeCards,large-font,4,0
ON_FOOT,30,light-theme,largeCards,small-font,6,1
STILL,8,dark-theme,xLargeCards,small-font,6,1
STILL,8,dark-theme,xLargeCards,small-font,6,1
STILL,206,dark-theme,xLargeCards,small-font,4,0
STILL,223,dark-theme,xLargeCards,small-font,5,0
STILL,182,light-theme,xLargeCards,large-font,6,1
STILL,194,light-theme,xLargeCards,small-font,6,1
STILL,97,light-theme,xLargeCards,large-font,6,1
STILL,102,light-theme,xLargeCards,large-font,6,1
STILL,90,light-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,xLargeCards,small-font,6,1
STILL,0,dark-theme,xLargeCards,large-font,-1,0
STILL,0,dark-theme,largeCards,large-font,-1,0
ON_FOOT,13,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,3,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,6,light-theme,largeCards,small-font,2,0
ON_FOOT,0,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,0,dark-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,3,0
STILL,0,dark-theme,largeCards,small-font,4,0
STILL,0,dark-theme,xLargeCards,small-font,3,0
STILL,222,light-theme,xLargeCards,small-font,6,1
STILL,208,light-theme,xLargeCards,small-font,6,1
STILL,70,light-theme,xLargeCards,large-font,1,0
STILL,26,light-theme,largeCards,small-font,6,1
STILL,26,light-theme,largeCards,small-font,6,1
STILL,26,light-theme,largeCards,large-font,6,1
STILL,12,dark-theme,xLargeCards,large-font,4,0
STILL,0,dark-theme,xLargeCards,large-font,3,0
STILL,3,dark-theme,xLargeCards,large-font,3,0
STILL,51,dark-theme,xLargeCards,small-font,5,0
IN_VEHICLE,19,light-theme,largeCards,large-font,5,0
IN_VEHICLE,13,light-theme,xLargeCards,large-font,-1,0
STILL,17,light-theme,largeCards,large-font,6,1
STILL,16,light-theme,largeCards,large-font,6,1
STILL,69,light-theme,largeCards,large-font,5,0
STILL,104,dark-theme,xLargeCards,large-font,5,0
ON_FOOT,0,dark-theme,xLargeCards,large-font,5,0
ON_FOOT,19,light-theme,largeCards,small-font,-4,0
IN_VEHICLE,6,light-theme,xLargeCards,small-font,0,0
STILL,0,light-theme,xLargeCards,small-font,-1,0
STILL,0,dark-theme,xLargeCards,large-font,5,0
STILL,0,dark-theme,xLargeCards,small-font,5,0
STILL,0,dark-theme,xLargeCards,small-font,6,1
STILL,4,light-theme,largeCards,large-font,6,1
STILL,51,light-theme,largeCards,small-font,4,0
STILL,32,light-theme,largeCards,large-font,6,1
STILL,21,dark-theme,largeCards,large-font,5,0
STILL,53,light-theme,largeCards,small-font,6,1
STILL,55,light-theme,largeCards,small-font,6,1
STILL,14,light-theme,xLargeCards,large-font,5,0
STILL,38,dark-theme,largeCards,large-font,4,0
STILL,16,light-theme,xLargeCards,large-font,6,1
STILL,17,light-theme,xLargeCards,large-font,6,1
STILL,27,light-theme,largeCards,small-font,3,0
STILL,17,light-theme,largeCards,small-font,3,0
STILL,0,dark-theme,xLargeCards,small-font,4,0
STILL,0,dark-theme,xLargeCards,large-font,5,0
STILL,9,dark-theme,largeCards,large-font,4,0
